Celestial_Body SemiMajorAxis(km) Perihelion(km) Aphelion(km) Period(days) Velocity(km/s) Eccentricity Inclination(deg) MeanRadius(km) EquatorialRadius(km) PolarRadius(km) Mass(kg) GM(km3/s2) MassFraction_SolarSystem
Sun 0 0 0 0 0 0 0 — 695700 — 1.98842e30 1.32712e11 9.98657e-1
Mercury 5.79091e7 4.60009e7 6.98173e7 87.97 47.87 0.20564 7.01 2439.4 2440.53 2438.26 3.30101e23 2.20319e4 1.65789e-7
Venus 1.08209e8 1.07477e8 1.08940e8 224.70 35.02 0.00676 3.39 6051.8 6051.8 6051.8 4.86732e24 3.24859e5 2.44455e-6
Earth 1.49598e8 1.47100e8 1.52096e8 365.26 29.78 0.01670 0.00 6371.0084 6378.1366 6356.7519 5.97219e24 3.98600e5 2.99946e-6
Moon 3.83398e5 3.62106e5 4.04689e5 27.18 1.03 0.05555 23.71 1737.4 1737.4 1737.4 7.34581e22 4.90280e3 3.68934e-8
Mars 2.27939e8 2.06645e8 2.49233e8 686.97 24.13 0.09342 1.85 3389.50 3396.19 3376.20 6.41693e23 4.28284e4 3.22282e-7
Jupiter 7.78321e8 7.40603e8 8.16038e8 4332.52 13.06 0.04846 1.30 69911 71492 66854 1.89852e27 1.26713e8 9.53510e-4
Saturn 1.42910e9 1.35096e9 1.50724e9 10783.05 9.64 0.05468 2.49 58232 60268 54364 5.68460e26 3.79406e7 2.85502e-4
Uranus 2.87479e9 2.73854e9 3.01104e9 30768.84 6.79 0.04739 0.77 25362 25559 24973 8.68192e25 5.79456e6 4.36039e-5
Neptune 4.50489e9 4.46384e9 4.54594e9 60357.05 5.43 0.00911 1.77 24622 24764 24341 1.02431e26 6.83653e6 5.14447e-5
Pluto 5.91540e9 4.44212e9 7.38868e9 90821.51 4.74 0.24906 17.14 1188.3 1188.3 1188.3 1.46158e22 9.755e2 7.34061e-9
