#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
814,52355,170,26,916529292924446720,16:15:48.58,+44:32:36.85,9.18,0.145085,1.8e-05,0,GALAXY,AGN
1325,52762,169,26,1491863877271447552,14:11:49.46,+53:24:18.12,26.77,0.086267,1.8e-05,0,GALAXY,
342,51691,450,26,385181491568601088,15:48:13.73,+01:15:15.88,20.85,0.031251,4e-06,0,GALAXY,STARBURST
2133,53917,480,26,2401676508407031808,14:29:12.17,+30:17:26.67,11.4,0.067833,9e-06,0,GALAXY,STARFORMING
6516,56571,967,v5_13_2,7336629710166972416,23:47:10.70,+26:59:47.53,4.16,0.183134,5.3e-05,0,GALAXY,STARFORMING
944,52614,367,26,1062950436106954752,10:16:55.68,+46:39:52.98,22.47,0.103416,2.1e-05,0,GALAXY,
1234,52724,506,26,1389499618965874688,09:45:23.46,+08:27:15.26,10.3,0.137144,1.3e-05,0,GALAXY,
406,51876,100,26,457142881442883584,02:24:43.14,-00:51:09.30,24.79,0.06835,2e-05,0,GALAXY,
1237,52762,180,26,1392787709126273024,10:14:28.92,+08:12:18.15,13.81,0.151404,4e-05,0,GALAXY,
11395,58488,916,v5_13_2,12829881369040803840,12:28:35.82,+31:28:44.13,6.23,0.022804,1e-05,0,GALAXY,STARBURST
1806,53559,411,26,2033488266287671296,13:52:06.59,+10:06:39.20,44.37,0.065569,1.3e-05,0,GALAXY,
2009,53857,474,26,2262063269684471808,13:09:07.27,+29:49:51.63,18.27,0.023108,1e-05,0,GALAXY,STARFORMING
1372,53062,35,26,1544744344286685184,12:44:26.88,+44:31:38.45,8.76,0.156863,1.1e-05,0,GALAXY,
1669,53433,109,26,1879156963808405504,13:46:11.17,+50:14:12.43,15.82,0.124981,3.9e-05,0,GALAXY,
391,51782,23,26,440233215664351232,00:32:02.14,-00:32:39.66,12.9,0.106966,1.5e-05,0,GALAXY,
399,51817,178,26,449283021581871104,01:24:38.09,-00:03:46.50,30.73,0.027699,1.7e-05,0,GALAXY,
7161,56625,494,v5_13_2,8062705133736450048,01:25:43.20,-07:42:07.05,30.54,0.14154,1.9e-05,0,GALAXY,
455,51909,439,26,512405161042274304,02:35:08.32,-08:15:50.63,16.32,0.122481,1.6e-05,0,GALAXY,STARFORMING
721,52228,395,26,811882446986438656,22:29:33.79,-08:53:29.85,23.92,0.099995,2e-05,0,GALAXY,
2494,54174,366,26,2808095043007571968,11:17:12.74,+18:06:27.26,16.15,0.070076,1.3e-05,0,GALAXY,STARFORMING
2422,54096,312,26,2727015404999305216,08:17:52.64,+12:53:52.80,39.88,0.03223,1e-05,0,GALAXY,STARFORMING
1654,53498,158,26,1862281935313725440,15:52:10.19,+26:49:07.66,12.3,0.146841,1.9e-05,0,GALAXY,
8872,57422,603,v5_13_2,9989149849407477760,11:48:42.81,+37:23:58.06,3.27,0.173973,2.5e-05,0,GALAXY,STARBURST
1652,53555,523,26,1860130466892376064,15:33:33.61,+29:57:22.88,14.9,0.081267,3.6e-05,0,GALAXY,
481,51908,333,26,541649421545269248,09:49:07.26,+02:29:55.61,26.75,0.092878,2.2e-05,0,GALAXY,
1428,52998,403,26,1607895893065885696,10:24:01.68,+40:20:42.92,9.26,0.073034,1.6e-05,0,GALAXY,
2884,54526,465,26,3247223225494562816,16:18:13.38,+50:31:24.00,30.33,0.055391,1e-05,0,GALAXY,STARFORMING
463,51908,186,26,521342816169781248,03:48:51.92,-06:33:49.04,15.37,0.114338,4.1e-05,0,GALAXY,
5147,55854,588,v5_13_2,5795168546943424512,21:52:33.96,+02:27:13.67,37.45,0.109632,1.4e-05,0,GALAXY,
