objid,ra,dec,modelmag_r,modelmagerr_r,extinction_r,redshift,zErr
1237667323797307493,193.854377493068,27.7980356026472,13.85542,0.001902902,0.02545135,0.02457256,9.94133E-06
1237667323797307576,193.86580384848,27.656121565351,13.96457,0.002006849,0.02422528,0.02340926,7.747202E-06
1237667323797307743,193.8919758661,27.8416590356694,15.34673,0.002758432,0.0254831,0.02334237,8.18081E-06
1237667323797307748,193.898751122449,27.7671346607378,15.75899,0.003357737,0.02484475,0.02234915,1.367529E-05
1237667323797307767,193.939074611059,27.7962816369419,16.84786,0.008198543,0.02425637,0.02293669,4.074516E-05
1237667323797307772,193.934458511967,27.7165846912562,16.63831,0.004078294,0.02228812,0.02387952,1.803746E-05
1237667323797372960,194.025405560641,27.6781025860047,15.12961,0.002866659,0.02026368,0.01648326,7.492529E-06
1237667323797372988,194.08245276854,27.7510271761568,14.3774,0.002106718,0.01995998,0.02297527,8.834738E-06
1237667323797373096,194.110932826373,27.8306382538767,14.2347,0.002016987,0.01988539,0.02091072,7.811485E-06
1237667323797373132,194.109575922977,27.7272523511345,15.41078,0.0027006,0.01969551,0.02276338,1.001476E-05
1237667323797373145,193.955331240998,27.7518748250867,17.20845,0.01033215,0.02245806,0.02418167,4.331772E-05
1237667323797373198,194.026848768133,27.6480394791657,15.47453,0.002849279,0.02020874,0.02536332,1.26642E-05
1237667323797373209,194.059416911716,27.8155839307608,17.40007,0.005784953,0.02142533,0.02222386,1.840734E-05
1237667323797373355,194.008014224364,27.6646584678041,17.47877,0.01091552,0.02032772,0.02067146,0.0001025008
1237667323797438564,194.142351917061,27.6873365933424,16.16596,0.003848959,0.01981279,0.02294773,1.191868E-05
1237667323797438566,194.149697837858,27.7188281246014,16.71808,0.005113177,0.02014318,0.02242385,2.834805E-05
1237667323797438604,194.211692146591,27.6278394269678,17.16753,0.005765941,0.02181147,0.02698101,2.388657E-05
1237667323797438634,194.268935737416,27.7730112532035,15.67803,0.003213707,0.02581981,0.02512812,1.348827E-05
1237667323797438642,194.267666475023,27.7300401263326,16.07007,0.004357084,0.02568273,0.02963925,1.798866E-05
1237667323797438654,194.260775015209,27.6566843695881,16.46038,0.005397719,0.0236189,0.02266375,2.17863E-05
1237667323797438661,194.270423824062,27.6773752119004,17.59196,0.008022892,0.02459062,0.02608517,3.166342E-05
1237667323797504020,194.319932275213,27.6184523807869,15.31954,0.002625146,0.02143909,0.02416236,8.099575E-06
1237667323797504055,194.386815981333,27.6103468882452,13.47086,0.001761599,0.02164575,0.02012796,7.409223E-06
1237667323797504147,194.324192435811,27.8109217672694,15.49421,0.002805775,0.02573244,0.02383198,1.004799E-05
1237667323797504157,194.331643479035,27.6137850865887,16.99047,0.005918088,0.02143728,0.02589621,3.032053E-05
1237667323797504163,194.347770721071,27.7662785222983,14.7983,0.00255235,0.02547511,0.03044434,8.820016E-06
1237667323797504185,194.358832303792,27.6593995831894,17.25465,0.007573781,0.02255018,0.01686044,1.191803E-05
1237667323797504193,194.367263593688,27.7007661438191,17.00858,0.005476907,0.02383393,0.02155076,2.105402E-05
1237667323797504196,194.364626812105,27.6362551509885,16.63013,0.005296478,0.02204259,0.02682374,1.806542E-05
1237667323797504242,194.442321586703,27.7570277744987,14.86458,0.002607715,0.02488092,0.02044867,1.132698E-05
1237667323797504263,194.449426308868,27.7694430488118,16.0574,0.003881476,0.02484643,0.01928272,1.319009E-05
1237667323797504287,194.313778975464,27.7298272736429,17.05446,0.01025061,0.02546131,0.01922159,7.043374E-05
1237667323797504296,194.326051271511,27.747358024387,16.7608,0.008595057,0.02553939,0.02287642,6.29171E-05
1237667323797569615,194.467957084075,27.7396342945644,17.36895,0.008796193,0.02480407,0.02310237,3.177626E-05
1237667323797569617,194.460665091628,27.6437333523947,16.78058,0.005588299,0.02273372,0.02271923,2.888255E-05
1237667323797569619,194.471376049855,27.707306287808,16.33338,0.005567891,0.02447632,0.02151302,2.672807E-05
1237667323797569678,194.514658223815,27.6824484401272,16.39503,0.004138836,0.02407962,0.02412642,1.713189E-05
1237667323797569716,194.568852773982,27.8025525900058,17.33711,0.00633295,0.02480149,0.01899429,2.974092E-05
1237667323797569737,194.579922745252,27.7620674876368,15.92923,0.003317481,0.02360403,0.01818292,1.335355E-05
1237667323797569745,194.612821592326,27.7066155934414,17.9255,0.009377759,0.02337047,0.02335642,5.339513E-05
1237667323797635081,194.631665985428,27.6734902125585,15.58176,0.002860171,0.02374977,0.02306956,8.930936E-06
1237667323797635092,194.646608296653,27.59640874119,13.49794,0.001835845,0.02347121,0.02564392,6.197025E-06
1237667323797635139,194.697502913701,27.674715526321,13.73,0.001863955,0.02496367,0.02796219,8.643199E-06
1237667323797635203,194.717062701033,27.785051267967,14.51297,0.002170689,0.02735895,0.01885658,8.163541E-06
