Z          Tcmb     T/1+z    T_err
0.0000     2.72548  2.72548  0.010
0.0370     2.88800  2.78000  0.050
0.0720     2.93100  2.73000  0.050
0.1250     3.05900  2.72000  0.060
0.1710     3.19700  2.73000  0.060
0.2200     3.28800  2.70000  0.070
0.2730     3.41600  2.68000  0.070
0.3220     3.56200  2.69000  0.070
0.3770     3.71700  2.70000  0.070
0.4280     3.97100  2.78000  0.080
0.4710     3.94300  2.68000  0.080
0.5250     4.38000  2.87000  0.090
0.5650     4.07500  2.60000  0.090
0.6190     4.40400  2.72000  0.095
0.6760     4.77900  2.85000  0.100
0.7180     4.93300  2.87000  0.110
0.7830     4.51500  2.53000  0.110
0.8700     5.35600  2.86000  0.120
0.9720     5.81300  2.95000  0.130
0.0420     2.85600  2.74100  0.050
0.0770     2.95300  2.74200  0.050
0.1230     3.07200  2.73600  0.060
0.1690     3.16200  2.70500  0.060
0.2220     3.32600  2.72200  0.070
0.2740     3.49500  2.74300  0.075
0.1290     3.01000  2.67000  0.065
0.2650     3.44000  2.72000  0.075
0.3710     3.53000  2.57000  0.080
0.4160     3.82000  2.70000  0.085
0.4470     4.09000  2.83000  0.090
0.4990     4.16000  2.78000  0.095
0.5900     4.62000  2.91000  0.100
0.6280     4.45000  2.73000  0.095
0.6810     4.72000  2.81000  0.100
0.7420     5.01000  2.88000  0.110
0.8870     4.97000  2.63000  0.120
1.0220     5.37000  2.66000  0.150
1.7293     7.50000  2.75000  0.200
1.7293     6.50000  2.38000  0.200
1.7293     7.90000  2.89000  0.200
1.7738     7.80000  2.81000  0.210
1.7738     6.80000  2.45000  0.210
1.7738     6.60000  2.38000  0.210
1.7765     7.20000  2.59000  0.210
1.9731     7.90000  2.66000  0.230
2.0377     8.60000  2.83000  0.250
2.0377     7.60000  2.50000  0.250
2.0377     8.60000  2.83000  0.250
2.0870    10.50000  3.40000  0.300
2.3371    10.00000  3.00000  0.300
2.3371     9.40000  2.80000  0.300
2.4184     9.20000  2.69000  0.320
2.4184     7.90000  2.31000  0.320
2.4184     9.00000  2.63000  0.320
2.4184    13.70000  4.00000  0.400
2.4636    12.00000  3.50000  0.400
2.5255     9.60000  2.72000  0.330
2.5255     7.30000  2.07000  0.330
2.5255     9.80000  2.78000  0.330
2.5255    11.10000  3.15000  0.350
2.6263    10.80000  2.98000  0.380
2.6896    10.50000  2.85000  0.380
2.6896     7.90000  2.14000  0.360
2.6896     8.80000  2.39000  0.360
2.7300    10.30000  2.76000  0.370
2.7700     9.90000  2.62000  0.370
2.9090    10.70000  2.74000  0.380
2.9300    10.60000  2.70000  0.380
3.0249    11.10000  2.76000  0.420
3.0249    11.60000  2.88000  0.420
3.0249    12.10000  3.01000  0.430
3.0249    10.80000  2.68000  0.420
3.2560    11.50000  2.70000  0.450
6.3369    20.00000  2.72600  7.000
