#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'1939','53389','2','26','2183120525981673472','09:32:05.38','+28:18:35.14',3.43,0.511557,0.00016,'0','GALAXY',''
'1939','53389','3','26','2183120800859580416','09:32:37.12','+28:22:15.97',25.58,0.075215,7e-06,'0','GALAXY','STARFORMING'
'1939','53389','4','26','2183121075737487360','09:32:37.51','+28:35:05.54',15.96,0.075169,4e-05,'0','GALAXY',''
'1939','53389','7','26','2183121900371208192','09:32:29.15','+28:21:21.57',18.92,0.141866,2.4e-05,'0','GALAXY','STARFORMING'
'1939','53389','8','26','2183122175249115136','09:31:52.70','+28:22:23.46',18.17,0.141906,2.3e-05,'0','GALAXY',''
'1939','53389','9','26','2183122450127022080','09:33:01.40','+28:21:31.17',21.14,0.061355,1.6e-05,'0','GALAXY','STARFORMING'
'1939','53389','11','26','2183122999882835968','09:32:15.35','+28:46:05.67',3.84,0.425464,0.000129,'0','GALAXY',''
'1939','53389','12','26','2183123274760742912','09:33:12.37','+28:39:07.08',18.33,0.062581,3e-05,'0','GALAXY',''
'1939','53389','15','26','2183124099394463744','09:33:28.13','+28:42:30.77',12.02,0.034358,1.4e-05,'0','GALAXY','STARFORMING'
'1939','53389','16','26','2183124374272370688','09:34:13.50','+28:50:00.22',5.56,0.382918,9.2e-05,'0','GALAXY',''
'1939','53389','17','26','2183124649150277632','09:33:08.09','+28:45:14.11',20.75,0.159063,4.5e-05,'0','GALAXY',''
'1939','53389','18','26','2183124924028184576','09:31:41.76','+28:48:08.79',14.41,0.242956,4e-05,'0','GALAXY',''
'1939','53389','19','26','2183125198906091520','09:33:08.25','+28:37:15.74',12.19,0.295464,6.6e-05,'0','GALAXY',''
'1939','53389','21','26','2183125748661905408','09:34:36.55','+29:09:40.11',10.48,0.121925,1.5e-05,'0','GALAXY',''
'1939','53389','23','26','2183126298417719296','09:34:27.52','+29:09:03.12',8.21,0.013812,1.1e-05,'0','GALAXY','STARFORMING'
'1939','53389','24','26','2183126573295626240','09:33:43.12','+29:02:50.01',9.46,0.074802,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','25','26','2183126848173533184','09:34:36.61','+29:07:11.81',7.59,0.035016,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','26','26','2183127123051440128','09:33:56.05','+29:13:44.28',23.36,0.095404,1.3e-05,'0','GALAXY','AGN'
'1939','53389','32','26','2183128772318881792','09:34:29.93','+29:13:54.40',21.19,0.128662,2.9e-05,'0','GALAXY',''
'1939','53389','33','26','2183129047196788736','09:34:30.66','+29:12:37.04',20.32,0.128249,9e-06,'0','GALAXY','AGN'
'1939','53389','34','26','2183129322074695680','09:34:22.86','+29:13:42.72',14.31,0.12769,2.9e-05,'0','GALAXY','STARFORMING'
'1939','53389','38','26','2183130421586323456','09:34:18.44','+29:21:59.82',14.8,0.10987,1.9e-05,'0','GALAXY',''
'1939','53389','42','26','2183131521097951232','09:31:31.99','+28:21:10.97',9.81,0.294712,7.9e-05,'0','GALAXY',''
'1939','53389','43','26','2183131795975858176','09:30:51.19','+28:47:00.28',12.56,0.296956,5.8e-05,'0','GALAXY',''
'1939','53389','44','26','2183132070853765120','09:30:33.47','+28:29:57.59',10.73,0.026328,1.2e-05,'0','GALAXY','STARFORMING'
'1939','53389','46','26','2183132620609579008','09:31:11.94','+28:23:21.45',17.45,0.036106,1.4e-05,'0','GALAXY','STARFORMING'
'1939','53389','47','26','2183132895487485952','09:31:03.00','+28:32:35.20',17.17,0.026349,7e-06,'0','GALAXY','STARFORMING'
'1939','53389','48','26','2183133170365392896','09:30:25.51','+27:58:25.73',7.66,0.357816,0.000114,'0','GALAXY',''
'1939','53389','49','26','2183133445243299840','09:30:59.13','+28:48:58.59',12.64,0.295862,7.4e-05,'0','GALAXY',''
'1939','53389','50','26','2183133720121206784','09:31:06.77','+28:05:27.94',32.05,0.057496,1.6e-05,'0','GALAXY',''
'1939','53389','52','26','2183134269877020672','09:30:53.86','+28:34:40.80',15.32,0.242558,4.9e-05,'0','GALAXY',''
'1939','53389','53','26','2183134544754927616','09:30:22.27','+28:30:16.84',19.99,0.213443,3.2e-05,'0','GALAXY',''
'1939','53389','54','26','2183134819632834560','09:30:17.26','+28:07:22.21',28.26,0.057443,1e-05,'0','GALAXY','STARFORMING'
'1939','53389','55','26','2183135094510741504','09:30:22.93','+28:35:16.90',9.18,0.337452,8.2e-05,'0','GALAXY',''
'1939','53389','56','26','2183135369388648448','09:31:10.15','+28:29:00.93',11.92,0.141491,1.7e-05,'0','GALAXY',''
'1939','53389','60','26','2183136468900276224','09:30:57.12','+28:45:35.60',20.28,0.096781,6e-06,'0','GALAXY','STARFORMING'
'1939','53389','61','26','2183136743778183168','09:32:11.55','+29:06:43.21',13.48,0.296495,6.4e-05,'0','GALAXY',''
'1939','53389','63','26','2183137293533997056','09:32:39.30','+29:04:06.51',17.73,0.196891,3.4e-05,'0','GALAXY',''
'1939','53389','65','26','2183137843289810944','09:32:42.70','+28:59:51.61',7.36,0.305778,9.4e-05,'0','GALAXY',''
'1939','53389','66','26','2183138118167717888','09:32:31.96','+29:01:02.36',1.76,0.694477,0.000218,'0','GALAXY',''
'1939','53389','67','26','2183138393045624832','09:32:22.96','+29:00:24.84',45.45,0.043163,1.1e-05,'0','GALAXY',''
'1939','53389','68','26','2183138667923531776','09:32:11.95','+29:00:54.66',13.53,0.299422,6.4e-05,'0','GALAXY',''
'1939','53389','71','26','2183139492557252608','09:33:07.57','+29:06:00.80',8.24,0.298818,7.1e-05,'0','GALAXY',''
'1939','53389','75','26','2183140592068880384','09:33:05.27','+29:10:15.14',36.42,0.131547,1.9e-05,'0','GALAXY',''
'1939','53389','77','26','2183141141824694272','09:33:10.90','+29:14:32.91',17.73,0.151156,2.9e-05,'0','GALAXY',''
'1939','53389','82','26','2183142516214228992','09:29:49.74','+28:20:01.07',4.45,0.496905,0.000159,'0','GALAXY',''
'1939','53389','84','26','2183143065970042880','09:28:44.79','+28:02:34.34',16.48,0.225824,4e-05,'0','GALAXY',''
'1939','53389','85','26','2183143340847949824','09:28:41.54','+28:00:17.86',5.31,0.497797,0.000125,'0','GALAXY',''
'1939','53389','86','26','2183143615725856768','09:29:28.56','+28:06:11.90',12.91,0.149327,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','89','26','2183144440359577600','09:29:08.75','+28:34:44.75',17.55,0.201413,3.6e-05,'0','GALAXY',''
'1939','53389','90','26','2183144715237484544','09:29:55.73','+27:58:56.17',4.1,0.484627,0.000146,'0','GALAXY',''
'1939','53389','91','26','2183144990115391488','09:28:59.06','+28:45:28.61',19.89,0.004098,6e-06,'0','GALAXY','STARFORMING'
