Galaxy,Chi2_min,rho_s,r_s,Upsilon,M_bar_edge,M_DM_edge,M_tot_edge,DM_Fraction_Edge
NGC0024,0.3343,14568.7500,1999.9978,1.8110,8715068923.4747,23079421177.3161,31794490100.7908,0.7259
NGC0055,0.3411,763125.0000,37.9260,0.0100,3618088578.9286,21968566593.7655,25586655172.6942,0.8586
NGC0100,0.5195,19425.0000,1499.9970,0.5098,2882033532.5290,16798813108.4935,19680846641.0225,0.8536
NGC0247,0.2258,2775000.0000,19.7049,0.0648,4155140098.2101,34172798942.6091,38327939040.8193,0.8916
NGC0289,1.6966,2497500.0000,27.2651,0.6195,91958729080.6951,356484148394.0415,448442877474.7366,0.7949
NGC0300,0.4693,2011875.0000,22.4865,0.6569,3528384017.7652,22329232920.3894,25857616938.1545,0.8635
NGC0801,5.3557,221999.9990,122.7091,0.6222,278845668251.0626,357544942347.6115,636390610598.6741,0.5618
NGC0891,3.5799,18037500.0000,12.8127,0.2950,52760255568.9007,131765932337.8602,184526187906.7608,0.7141
NGC1003,0.5444,1387500.0000,27.5173,0.4947,13274951414.0802,79149488550.1205,92424439964.2007,0.8564
NGC1090,2.0602,6937500.0000,15.1691,0.4398,53942710569.1284,130330927583.8660,184273638152.9944,0.7073
NGC1705,0.0762,24281250.0000,4.0102,1.4862,1069221572.3079,6206029207.5719,7275250779.8798,0.8530
NGC2366,0.5604,3468750.0000,8.2651,0.0100,968239421.9223,3124038542.1233,4092277964.0456,0.7634
NGC2403,0.4630,8325000.0000,12.6353,0.4403,12228846698.7470,74352245284.0686,86581091982.8155,0.8588
NGC2683,0.9421,24975000.0000,8.0301,0.5488,46926902818.8001,139452731311.5034,186379634130.3036,0.7482
NGC3198,0.5682,4856250.0000,17.7528,0.5130,43428351950.0832,182668757152.6370,226097109102.7202,0.8079
