wavelength_A,flux
3798.3948,3.9597373
3799.2686,4.982961
3800.1426,8.6022835
3801.0188,7.490656
3801.8933,8.926402
3802.77,11.024194
3803.6448,5.18504
3804.522,6.4406943
3805.3972,11.796686
3806.2727,5.9959855
3807.1504,-2.6385176
3808.0261,2.6409175
3808.9043,6.3966208
3809.7805,5.2787137
3810.659,10.622749
3811.5356,8.017749
3812.4126,-1.5943446
3813.2917,4.0021996
3814.169,8.123717
3815.0483,2.7507398
3815.926,2.7639346
3816.806,4.198845
3817.684,-2.1921618
3818.5623,3.1582282
3819.4429,-0.42712882
3820.3215,2.2533278
3821.2024,2.7284021
3822.0815,4.047862
3822.963,6.9769154
3823.8423,4.667891
3824.724,1.2816759
3825.604,5.8852057
3826.4841,2.741686
3827.3665,7.013856
3828.247,2.1407576
3829.1296,1.8118294
3830.0107,0.53586096
3830.8938,6.525317
3831.7751,9.650487
3832.6567,1.3987119
3833.5405,1.0176128
3834.4224,7.070673
3835.3066,10.436786
3836.1887,4.076841
3837.0735,-0.09179265
3837.956,3.3797345
3838.839,3.4083514
3839.7244,4.9110985
3840.6077,8.262138
3841.4932,7.4167295
3842.377,6.3433056
3843.263,5.5179014
3844.1472,11.473673
3845.0315,5.2335324
3845.9182,4.7172437
3846.803,8.413611
3847.69,4.3416824
3848.5752,-0.31738892
3849.4626,1.1319388
3850.3481,4.8867364
3851.234,6.725846
3852.122,-0.38200703
3853.0083,2.1739256
3853.8967,-0.84951824
3854.7832,3.7844317
3855.672,6.408733
3856.559,3.417123
3857.4463,1.3120794
3858.336,5.146467
3859.2234,9.434327
3860.1135,5.70929
3861.0015,7.402914
3861.8918,4.2695456
3862.7803,6.5625887
3863.669,7.7078576
3864.5598,8.62197
3865.4487,1.3469692
3866.34,2.5714777
3867.2297,10.252032
3868.1213,2.3184817
3869.0112,3.9594486
3869.9014,10.359811
3870.7937,2.8563116
3871.684,6.746717
3872.577,6.534612
3873.4678,2.4063077
3874.361,1.1558424
3875.2524,1.4876225
3876.1438,2.3198552
3877.0376,6.2395544
3877.9297,6.5134907
3878.824,0.22613572
3879.716,6.1485567
3880.6108,4.801863
3881.5037,8.458598
3882.3965,6.786257
3883.2917,4.1593466
3884.185,7.9376326
3885.0808,8.877934
3885.9746,3.7915118
3886.8706,7.2937093
3887.765,1.8915534
3888.6592,4.44144
3889.556,2.7515783
3890.4507,5.2405243
3891.348,4.5136437
3892.2432,5.501067
3893.1406,8.293935
3894.0361,3.6637797
3894.934,4.3676105
3895.83,11.575734
3896.7263,1.7760847
3897.625,8.296534
3898.5217,7.998403
3899.4207,5.2304525
3900.3176,5.8993034
3901.217,6.947872
3902.1145,5.916913
3903.0122,5.208576
3903.9124,4.673768
3904.8103,-0.09965722
3905.7107,7.252427
3906.6094,11.2294
3907.5103,9.424828
3908.409,7.2135587
3909.308,6.2236123
3910.2097,5.311564
3911.1091,2.3725524
3912.011,1.0414935
3912.9111,6.2471538
3913.8132,4.9055486
3914.7136,4.64655
3915.6143,6.775465
3916.5173,5.822468
3917.4182,3.7253795
3918.3215,4.314864
3919.223,5.84423
3920.1267,6.4191685
3921.0286,5.5834503
3921.9307,3.8703644
3922.835,7.961592
3923.7373,9.728326
3924.642,11.963158
3925.545,1.3264381
3926.4502,0.9677439
3927.3535,2.9107704
3928.257,3.4194906
3929.1628,5.2141767
3930.0667,4.7976446
3930.973,4.406357
3931.8774,8.147495
3932.784,8.8171215
3933.6887,7.777397
3934.5938,8.4381275
3935.501,11.23569
3936.4062,6.8127337
3937.314,4.3958383
3938.22,7.5426407
3939.128,5.830478
3940.0342,2.2057343
3940.9407,4.6194506
3941.8494,7.1900835
3942.756,7.3979745
3943.6653,6.333386
3944.5725,2.5076754
3945.4822,6.7523317
3946.39,9.783611
3947.2979,8.3508625
3948.208,8.880395
3949.1162,5.1334567
3950.0269,3.9842515
3950.9355,2.4759567
3951.8467,3.6569555
3952.7559,8.833768
3953.665,7.4458466
3954.577,5.222203
3955.4866,3.8898408
3956.3987,1.6041491
3957.3088,1.8664349
3958.2214,5.0642753
3959.132,3.703419
3960.045,5.9049387
3960.956,9.585149
3961.8672,6.9854054
3962.7808,8.337259
3963.6924,9.315903
3964.6064,8.770598
3965.5186,8.324619
3966.4329,5.954758
3967.3455,3.7873397
3968.258,6.334059
3969.173,1.8224708
3970.0862,5.4947166
3971.0017,7.590296
3971.9153,4.2312016
3972.8313,2.5938928
3973.745,5.4133115
3974.6592,7.85538
3975.576,5.526714
3976.4905,2.8525405
3977.4075,5.688581
3978.3223,6.4773474
3979.2397,10.261695
3980.1553,6.766139
3981.0708,5.5610476
3981.9888,7.9314284
3982.9048,6.498889
3983.8232,3.4072742
3984.7397,4.7377963
3985.6587,7.043274
3986.5757,5.362087
3987.4927,6.7531843
3988.412,7.335164
3989.3298,9.555809
3990.2498,3.8403237
3991.1677,7.176023
3992.088,8.928508
3993.0063,5.133262
3993.9248,4.0305347
3994.846,4.464617
3995.765,3.521293
3996.6863,4.5321
3997.6057,7.377774
3998.5276,3.4225285
3999.4475,9.0941305
4000.3674,6.6803856
4001.29,3.4927566
4002.2104,4.695091
4003.1333,3.821839
4004.0542,0.86630136
4004.9775,2.729904
4005.899,4.622558
4006.8206,5.605849
4007.7444,6.60938
4008.6665,4.92454
4009.5908,4.810016
4010.5132,6.7670336
