line_name,lambda_obs,z_line,EW
Ly_alpha     ,1215.67,0.0,0.0
N_V 1240     ,1240.81,0.0,0.0
C_IV 1549    ,1549.48,0.0,0.0
He_II 1640   ,1640.42,0.0,0.0
C_III] 1908  ,1908.734,0.0,0.0
Mg_II 2799   ,2800.3151836549728,0.0,0.0
[O_II] 3725  ,3727.091726797987,0.13140987,2.8521092
[O_II] 3727  ,3729.875447997208,0.13140987,6.1935015
[Ne_III] 3868,3869.8567972272717,0.13140984,2.8987591
H_epsilon    ,3890.1510799166767,0.1314099,-1.1088979
[Ne_III] 3970,3971.1231872114904,0.13140993,-2.7741416
H_delta      ,4102.891630872568,0.13140996,-1.02809
H_gamma      ,4341.684312649426,0.13140997,-2.278222
[O_III] 4363 ,4364.435300399844,0.13140993,0.23120289
He_II 4685   ,4686.991444195157,0.13140993,-0.35478783
H_beta       ,4862.682993731257,0.1314102,-1.5292628
[O_III] 4959 ,4960.2949014467185,0.13140878,0.19584675
[O_III] 5007 ,5008.239637728127,0.13140982,0.61731267
He_II 5411   ,5413.024422565308,0.13141014,-0.052820478
[O_I] 5577   ,5578.887703795193,0.13141109,0.0876992
[O_I] 6300   ,6302.046376726897,0.13141114,0.26056585
[S_III] 6312 ,6313.805532906624,0.13140954,-0.20934118
[O_I] 6363   ,6365.535419574267,0.13141024,0.4314689
[N_II] 6548  ,6549.858929253789,0.13141024,1.6735301
H_alpha      ,6564.613894333284,0.13140959,5.02134
[N_II] 6583  ,6585.2684452471885,0.13140884,3.1184437
[S_II] 6716  ,6718.29420811581,0.13141003,0.45008662
[S_II] 6730  ,6732.678076327587,0.13141046,1.2577204
[Ar_III] 7135,7137.757103334721,0.13141067,0.249828
