#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1798615349         0.1798597829         3.5021700162         5.0748803928        -2.4247702630        15.7396680000        14.6467060000        13.1872460000        11.9593410000        10.4212340000         8.9132890000         8.2587030000         8.0407900000        11.8773130000        13.4103240000        13.4534810000        10.6992970000        11.8968600000        13.4321250000        10.6965770000
        0.1900641558         0.1900622357         3.5049665656         5.0610003634        -2.3746407119        15.5315930000        14.4473350000        12.9953490000        11.7891570000        10.2799390000         8.7967560000         8.1435220000         7.9264390000        11.7240350000        13.2189390000        13.2621450000        10.5567640000        11.7436120000        13.2404650000        10.5541720000
        0.2003332637         0.2003311621         3.5077750644         5.0468637959        -2.3241141058        15.3252640000        14.2492260000        12.8049610000        11.6194370000        10.1380370000         8.6788740000         8.0268180000         7.8103250000        11.5703260000        13.0290430000        13.0722950000        10.4135580000        11.5899330000        13.0503050000        10.4110970000
        0.2084145717         0.2084123245         3.5099144691         5.0364902344        -2.2867060373        15.1738750000        14.1034350000        12.6648980000        11.4940980000        10.0332160000         8.5915660000         7.9402480000         7.7241980000        11.4565790000        12.8893100000        12.9325970000        10.3076350000        11.4762080000        12.9103790000        10.3052820000
        0.2140131973         0.2140108582         3.5112907293         5.0306555790        -2.2646042821        15.0833110000        14.0158790000        12.5808220000        11.4189820000         9.9709520000         8.5402260000         7.8892710000         7.6735570000        11.3886380000        12.8054130000        12.8487260000        10.2446290000        11.4082810000        12.8263650000        10.2423470000
        0.2196186280         0.2196161881         3.5126736510         5.0246197576        -2.2421724150        14.9925630000        13.9280550000        12.4965010000        11.3433590000         9.9080380000         8.4880280000         7.8373990000         7.6220290000        11.3200350000        12.7212630000        12.7646010000        10.1809280000        11.3396900000        12.7420980000        10.1787200000
        0.2250623606         0.2250598459         3.5139939245         5.0193135233        -2.2215426873        14.9091150000        13.8470410000        12.4187130000        11.2735440000         9.8501290000         8.4401140000         7.7897310000         7.5747010000        11.2567330000        12.6436180000        12.6869790000        10.1222410000        11.2764000000        12.6643450000        10.1201060000
        0.2306459306         0.2306433076         3.5153730226         5.0131661185        -2.1990568979        14.8200490000        13.7605940000        12.3357140000        11.1986420000         9.7875010000         8.3876880000         7.7375460000         7.5228750000        11.1884680000        12.5607670000        12.6041540000        10.0587560000        11.2081460000        12.5813820000        10.0567000000
        0.2362185283         0.2362157921         3.5167502467         5.0069592419        -2.1765403977        14.7318130000        13.6748130000        12.2533480000        11.1240830000         9.7250030000         8.3351440000         7.6852000000         7.4708930000        11.1203600000        12.4785390000        12.5219480000         9.9953690000        11.1400500000        12.4990420000         9.9933940000
        0.2416514610         0.2416486100         3.5180926044         5.0008867704        -2.1546460769        14.6467970000        13.5920120000        12.1738380000        11.0519180000         9.6644090000         8.2840330000         7.6342370000         7.4202940000        11.0543200000        12.3991490000        12.4425820000         9.9338760000        11.0740200000        12.4195460000         9.9319830000
        0.2471457375         0.2471427679         3.5194459299         4.9948996881        -2.1329625064        14.5650340000        13.5116080000        12.0967060000        10.9814790000         9.6047130000         8.2333150000         7.5833710000         7.3698850000        10.9895010000        12.3220590000        12.3655090000         9.8733350000        11.0092100000        12.3423670000         9.8715180000
        0.2527473825         0.2527442862         3.5208265185         4.9887466147        -2.1107984132        14.4825960000        13.4302940000        12.0186910000        10.9099990000         9.5439280000         8.1814350000         7.5312450000         7.3182460000        10.9235530000        12.2440670000        12.2875350000         9.8116690000        10.9432730000        12.2642900000         9.8099330000
        0.2590981110         0.2590948778         3.5223671602         4.9828416272        -2.0882385243        14.3970930000        13.3456260000        11.9374690000        10.8358500000         9.4816730000         8.1290000000         7.4784870000         7.2660300000        10.8555040000        12.1628650000        12.2063570000         9.7483890000        10.8752340000        12.1829930000         9.7467440000
        0.2655071821         0.2655038091         3.5239143170         4.9772055358        -2.0662643506        14.3137910000        13.2629160000        11.8580990000        10.7633650000         9.4210370000         8.0780560000         7.4271690000         7.2152580000        10.7890310000        12.0835110000        12.1270290000         9.6866810000        10.8087710000        12.1035460000         9.6851290000
        0.2721665288         0.2721628958         3.5255633297         4.9712634781        -2.0432443712        14.2268300000        13.1763820000        11.7750360000        10.6874210000         9.3576100000         8.0247710000         7.3734280000         7.1621050000        10.7193690000        12.0004620000        12.0440110000         9.6220650000        10.7391200000        12.0203990000         9.6206180000
        0.2785010348         0.2784972514         3.5270920756         4.9657308027        -2.0215653376        14.1460610000        13.0958280000        11.6976180000        10.6164260000         9.2981360000         7.9745420000         7.3227280000         7.1119520000        10.6540960000        11.9230560000        11.9666350000         9.5614480000        10.6738570000        11.9429040000         9.5601000000
        0.2847046388         0.2847007016         3.5285864661         4.9603162733        -2.0003491685        14.0676500000        13.0174600000        11.6222370000        10.5471770000         9.2400870000         7.9254000000         7.2730790000         7.0628430000        10.5903540000        11.8476820000        11.8912930000         9.5022430000        10.6101260000        11.8674440000         9.5009930000
        0.2921305235         0.2921257929         3.5306111172         4.9534162204        -1.9739849904        13.9682730000        12.9178600000        11.5265180000        10.4595600000         9.1675860000         7.8648040000         7.2117460000         7.0022470000        10.5100980000        11.7519740000        11.7956300000         9.4281180000        10.5298830000        11.7716200000         9.4270040000
        0.2981115787         0.2981066915         3.5320494537         4.9484111574        -1.9538801782        13.8947920000        12.8440190000        11.4553260000        10.3940170000         9.1127740000         7.8183550000         7.1647240000         6.9557540000        10.4497310000        11.6807910000        11.7244830000         9.3721080000        10.4695260000        11.7003560000         9.3710930000
        0.3034496855         0.3034446507         3.5333669421         4.9439085168        -1.9357388848        13.8285460000        12.7773000000        11.3909450000        10.3347420000         9.0633340000         7.7765210000         7.1223400000         6.9138570000        10.3951680000        11.6164190000        11.6601450000         9.3215390000        10.4149730000        11.6359090000         9.3206180000
        0.3075185812         0.3075134323         3.5344391196         4.9409865481        -1.9227413160        13.7793740000        12.7275300000        11.3429200000        10.2908360000         9.0275200000         7.7469270000         7.0923050000         6.8842180000        10.3551290000        11.5683990000        11.6121560000         9.2847780000        10.3749420000        11.5878310000         9.2839340000
        0.3117372511         0.3117319812         3.5355550372         4.9380211502        -1.9093126288        13.7286420000        12.6760850000        11.2932320000        10.2454060000         8.9905350000         7.7163950000         7.0613030000         6.8536330000        10.3137170000        11.5187190000        11.5625100000         9.2467840000        10.3335380000        11.5380870000         9.2460210000
        0.3127002163         0.3126948963         3.5357805290         4.9373669795        -1.9064287825        13.7179840000        12.6652840000        11.2827890000        10.2358190000         8.9826460000         7.7098010000         7.0546100000         6.8470250000        10.3049340000        11.5082760000        11.5520740000         9.2386910000        10.3247570000        11.5276330000         9.2379450000
        0.3137293711         0.3137240015         3.5360424333         4.9367315802        -1.9033267905        13.7062410000        12.6533500000        11.2712510000        10.2252750000         8.9740940000         7.7027640000         7.0474630000         6.8399760000        10.2953350000        11.4967390000        11.5405450000         9.2298980000        10.3151600000        11.5160810000         9.2291710000
        0.3147457537         0.3147403410         3.5362872701         4.9360710444        -1.9002855325        13.6949100000        12.6418500000        11.2601280000        10.2150800000         8.9657530000         7.6958320000         7.0404230000         6.8330290000        10.2860180000        11.4856190000        11.5294320000         9.2213320000        10.3058440000        11.5049470000         9.2206220000
        0.3157644867         0.3157590384         3.5365318524         4.9353907794        -1.8972223102        13.6835340000        12.6303040000        11.2489590000        10.2048380000         8.9573610000         7.6888450000         7.0333290000         6.8260270000        10.2766500000        11.4744520000        11.5182720000         9.2127130000        10.2964790000        11.4937660000         9.2120230000
        0.3168159260         0.3168104463         3.5367717950         4.9347047015        -1.8941267289        13.6721560000        12.6187600000        11.2377820000        10.1945690000         8.9489070000         7.6817660000         7.0261410000         6.8189320000        10.2672390000        11.4632780000        11.5071070000         9.2040370000        10.2870680000        11.4825790000         9.2033630000
        0.3178565771         0.3178510733         3.5370446586         4.9339945428        -1.8908902468        13.6599390000        12.6063370000        11.2257670000        10.1835850000         8.9399980000         7.6744270000         7.0186830000         6.8115770000        10.2572350000        11.4512640000        11.4951020000         9.1948730000        10.2770670000        11.4705510000         9.1942200000
        0.3190524018         0.3190470043         3.5372988963         4.9334848758        -1.8877116711        13.6481820000        12.5943450000        11.2141230000        10.1729050000         8.9312780000         7.6671880000         7.0113380000         6.8043270000        10.2474820000        11.4396230000        11.4834690000         9.1859110000        10.2673170000        11.4588940000         9.1852770000
